chunk_id,file_id,sort_id,content,page,total_page,coordinates,reg_id,reg_date,upd_id,upd_date,label,enumerated,section,subsection,subsubsection,subsubsubsection,is_section_title,footnote_id,table_group_id,content_type
3588,6,1,Standard Specification for Straight-Beam Ultrasonic Examination of Rolled Steel Plates for Special Applications 1,1,5,"[88.305, 637.1940478515625, 493.465, 681.0790478515624]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,section_header,False,,,,,False,,,text
3590,6,3,This standard has been approved for use by agencies of the Department of Defense.,1,5,"[88.305, 582.2770478515625, 346.917, 588.5970478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,text,False,,,,,False,,,text
3591,6,4,1. Scope,1,5,"[31.431, 551.0500478515625, 68.848, 559.7730478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,section_header,False,1 Scope,,,,False,,,section
3592,6,5,"1.1 This specification 2 covers the procedure and acceptance standards for straight-beam, pulse-echo, ultrasonic examination of rolled carbon and alloy steel plates, 3 /8 in. [10 mm] in thickness and over, for special applications. The method will detect internal discontinuities parallel to the rolled surfaces. Three levels of acceptance standards are provided. Supplementary requirements are provided for alternative procedures.",1,5,"[31.43, 466.9610478515625, 282.906, 546.3940478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,list_item,False,1 Scope,,,,False,,,text
3593,6,6,1.2 Individuals performing examinations in accordance with this specification shall be qualified and certified in accordance with the requirements of the latest edition of ASNT SNTTC-1A or an equivalent accepted standard. An equivalent standard is one which covers the qualification and certification of ultrasonic nondestructive examination candidates and which is acceptable to the purchaser.,1,5,"[31.43, 382.9440478515625, 282.899, 460.4490478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,list_item,False,1 Scope,,,,False,,,text
3594,6,7,"1.3 The values stated in either SI units or inch-pound units are to be regarded separately as standard. The values stated in each system may not be exact equivalents; therefore, each system shall be used independently of the other. Combining values from the two systems may result in non-conformance with the standard.",1,5,"[31.43, 310.5020478515625, 282.902, 376.5320478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,list_item,False,1 Scope,,,,False,,,text
3595,6,8,"1.4 This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appropriate safety and health practices and determine the applicability of regulatory limitations prior to use.",1,5,"[31.43, 250.5720478515625, 282.925, 304.9870478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,list_item,False,1 Scope,,,,False,,,text
3596,6,9,A264 Specification for Stainless Chromium-Nickel Steel-,1,5,"[310.316, 550.9790478515625, 552.317, 559.6350478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,text,False,1 Scope,A264 Specification for Stainless Chromium-Nickel Steel-,,,False,,,subsection
3597,6,10,Clad Plate Steel Plate,1,5,"[319.795, 516.5550478515624, 363.029, 548.1600478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,text,False,1 Scope,A264 Specification for Stainless Chromium-Nickel Steel-,,,False,,,text
3598,6,11,A265 Specification for Nickel and Nickel-Base Alloy-Clad,1,5,"[310.316, 528.0300478515625, 552.312, 536.6860478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,text,False,1 Scope,A265 Specification for Nickel and Nickel-Base Alloy-Clad,,,False,,,subsection
3599,6,12,2.2 ANSI Standard: 4,1,5,"[310.314, 503.6900478515625, 395.443, 514.2750478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,text,False,1 Scope,2.2 ANSI Standard,,,False,,,subsection
3600,6,13,B 46.1 Surface Texture,1,5,"[310.314, 492.2150478515625, 403.369, 500.8710478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,text,False,1 Scope,2.2 ANSI Standard,,,False,B,,text
3601,6,14,2.3 ASNT Standard: 5,1,5,"[310.314, 479.3520478515625, 402.478, 489.9360478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,text,False,1 Scope,2.3 ASNT Standard,,,False,,,subsection
3602,6,15,SNT-TC-1A,1,5,"[310.314, 467.8770478515625, 359.837, 476.5330478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,text,False,1 Scope,2.3 ASNT Standard,,,False,,,text
3603,6,16,2. Referenced Documents,1,5,"[31.43, 233.03304785156251, 142.914, 241.75604785156247]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,section_header,False,2 Referenced Documents,,,,False,,,section
3604,6,17,2.1 ASTM Standards: 3,1,5,"[40.909, 217.89104785156246, 133.8, 228.47704785156247]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,text,False,2 Referenced Documents,2.1 ASTM Standards,,,False,,,subsection
3605,6,18,A263 Specification for Stainless Chromium Steel-Clad Plate,1,5,"[40.91, 206.4180478515625, 282.92, 215.07404785156245]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,text,False,2 Referenced Documents,A263 Specification for Stainless Chromium Steel-Clad Plate,,,False,,,subsection
3606,6,19,"1 This specification is under the jurisdiction of ASTM Committee A01 on Steel, Stainless Steel and Related Alloys and is the direct responsibility of Subcommittee A01.11 on Steel Plates for Boilers and Pressure Vessels.",1,5,"[31.43, 165.99804785156243, 282.908, 191.21304785156246]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,footnote,False,,,,,False,,,text
3608,6,21,"2 For ASME Boiler and Pressure Vessel Code applications, see related Specification SA-578/SA-578M in Section II of that Code.",1,5,"[31.43, 121.09704785156248, 282.92, 137.3320478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,footnote,False,,,,,False,,,text
3610,6,23,3. Ordering Information,1,5,"[300.835, 447.1030478515625, 408.647, 455.8270478515625]",system,2025-08-14 01:29:13.602858,system,2025-08-14 01:29:13.602858,section_header,False,3 Ordering Information,,,,False,,,section
