chunk_id,file_id,sort_id,content,page,total_page,coordinates,reg_id,reg_date,upd_id,upd_date,section,subsection,subsubsection,subsubsubsection,is_section_title,footnote_id,table_group_id,content_type
903,2,1,# Steel Plates Produced by Thermo-Mechanically Controlled Processing for Offshore Structures,1,27,"[[0.1781, 0.2276], [0.7901, 0.2276], [0.7901, 0.3193], [0.1781, 0.3193]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
905,2,3,"API MONOGRAM PROGRAM EFFECTIVE DATE: AUGUST 1, 2019",1,27,"[[0.1798, 0.4618], [0.8522, 0.4618], [0.8522, 0.4816], [0.1798, 0.4816]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
906,2,4,energyAPI,1,27,"[[0.1359, 0.7753], [0.2933, 0.7753], [0.2933, 0.8165], [0.1359, 0.8165]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
907,2,5,AMERICAN PETROLEUM INSTITUTE,1,27,"[[0.1844, 0.8211], [0.4573, 0.8211], [0.4573, 0.8354], [0.1844, 0.8354]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
908,2,6,# Special Notes,2,27,"[[0.09, 0.1514], [0.2156, 0.1514], [0.2156, 0.167], [0.09, 0.167]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
909,2,7,"API publications necessarily address problems of a general nature. With respect to particular circumstances, local, state, and federal laws and regulations should be reviewed.",2,27,"[[0.0905, 0.1844], [0.8842, 0.1844], [0.8842, 0.2122], [0.0905, 0.2122]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
910,2,8,"Neither API nor any of API's employees, subcontractors, consultants, committees, or other assignees make any warranty or representation, either express or implied, with respect to the accuracy, completeness, or usefulness of the information contained herein, or assume any liability or responsibility for any use, or the results of such use, of any information or process disclosed in this publication. Neither API nor any of API's employees, subcontractors, consultants, or other assignees represent that use of this publication would not infringe upon privately owned rights.",2,27,"[[0.0907, 0.2245], [0.8849, 0.2245], [0.8849, 0.2924], [0.0907, 0.2924]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
911,2,9,"Users of this specification should not rely exclusively on the information contained in this document. Sound business, scientific, engineering, and safety judgment should be used in employing the information contained herein.",2,27,"[[0.0913, 0.3048], [0.8849, 0.3048], [0.8849, 0.3331], [0.0913, 0.3331]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
912,2,10,"API publications may be used by anyone desiring to do so. Every effort has been made by the Institute to assure the accuracy and reliability of the data contained in them; however, the Institute makes no representation, warranty, or guarantee in connection with this publication and hereby expressly disclaims any liability or responsibility for loss or damage resulting from its use or for the violation of any authorities having jurisdiction with which this publication may conflict.",2,27,"[[0.0914, 0.3444], [0.8855, 0.3444], [0.8855, 0.4119], [0.0914, 0.4119]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
913,2,11,"API publications are published to facilitate the broad availability of proven, sound engineering and operating practices. These publications are not intended to obviate the need for applying sound engineering judgment regarding when and where these publications should be utilized. The formulation and publication of API publications is not intended in any way to inhibit anyone from using any other practices.",2,27,"[[0.0912, 0.4245], [0.8873, 0.4245], [0.8873, 0.4798], [0.0912, 0.4798]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
914,2,12,"Any manufacturer marking equipment or materials in conformance with the marking requirements of an API standard is solely responsible for complying with all the applicable requirements of that standard. API does not represent, warrant, or guarantee that such products do in fact conform to the applicable API standard.",2,27,"[[0.0917, 0.4918], [0.8876, 0.4918], [0.8876, 0.5329], [0.0917, 0.5329]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
918,2,16,# Foreword,3,27,"[[0.0865, 0.1493], [0.1763, 0.1493], [0.1763, 0.164], [0.0865, 0.164]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
919,2,17,"Nothing contained in any API publication is to be construed as granting any right, by implication or otherwise, for the manufacture, sale, or use of any method, apparatus, or product covered by letters patent. Neither should anything contained in the publication be construed as insuring anyone against liability for infringement of letters patents.",3,27,"[[0.0861, 0.1822], [0.8832, 0.1822], [0.8832, 0.224], [0.0861, 0.224]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
920,2,18,The verbal forms used to express the provisions in this document are as follows.,3,27,"[[0.0867, 0.235], [0.6368, 0.235], [0.6368, 0.2494], [0.0867, 0.2494]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
921,2,19,"Shall: As used in a standard, ""shall"" denotes a minimum requirement in order to conform to the standard.",3,27,"[[0.088, 0.2619], [0.799, 0.2619], [0.799, 0.276], [0.088, 0.276]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
922,2,20,"Should: As used in a standard, ""should"" denotes a recommendation or that which is advised but not required in order to conform to the standard.",3,27,"[[0.0865, 0.2887], [0.8832, 0.2887], [0.8832, 0.3155], [0.0865, 0.3155]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
923,2,21,"May: As used in a standard, ""may"" denotes a course of action permissible within the limits of a standard.",3,27,"[[0.0854, 0.329], [0.7948, 0.329], [0.7948, 0.3429], [0.0854, 0.3429]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
924,2,22,"Can: As used in a standard, ""can"" denotes a statement of possibility or capability.",3,27,"[[0.0871, 0.3551], [0.6389, 0.3551], [0.6389, 0.37], [0.0871, 0.37]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
925,2,23,"This document was produced under API standardization procedures that ensure appropriate notification and participation in the developmental process and is designated as an API standard. Questions concerning the interpretation of the content of this publication or comments and questions concerning the procedures under which this publication was developed should be directed in writing to the Director of Standards, American Petroleum Institute, 1220 L Street, NW, Washington, DC 20005. Requests for permission to reproduce or translate all or any part of the material published herein should also be addressed to the director.",3,27,"[[0.0854, 0.3814], [0.8845, 0.3814], [0.8845, 0.4622], [0.0854, 0.4622]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
926,2,24,"For API Monogram Program licensees and APIQR Program registrants, this document shall become effective on the program date printed on the cover but may be used voluntarily from the date of publication.",3,27,"[[0.0585, 0.4743], [0.8816, 0.4743], [0.8816, 0.5027], [0.0585, 0.5027]]",system,2025-07-14 13:43:36.686056,system,2025-07-14 13:43:36.686056,,,,,False,,,text
