sort_id,title,text,page,coordinates,pruned_edges_row
4,Scope,1. Scope,1,"[31.431, 551.0500478515625, 68.848, 559.7730478515625]",[]
5,Scope,"1.1 This specification 2 covers the procedure and acceptance standards for straight-beam, pulse-echo, ultrasonic examination of rolled carbon and alloy steel plates, 3 /8 in. [10 mm] in thickness and over, for special applications.",1,"[31.43, 466.9610478515625, 282.906, 546.3940478515625]","[{'subj': 'this specification', 'obj': 'procedure and acceptance standards for straight-beam, pulse-echo, ultrasonic examination', 'edge': 'covers', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'this specification', 'obj': 'three levels of acceptance standards', 'edge': 'shall_provide', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'straight-beam, pulse-echo, ultrasonic examination', 'obj': 'rolled carbon and alloy steel plates', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'rolled carbon and alloy steel plates', 'obj': '10 mm', 'edge': 'has_minimum_thickness', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'rolled carbon and alloy steel plates', 'obj': 'special applications', 'edge': 'used_for', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'the method', 'obj': 'internal discontinuities', 'edge': 'detects', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'internal discontinuities', 'obj': 'rolled surfaces', 'edge': 'parallel_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'supplementary requirement', 'obj': 'alternative procedures', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}]"
5,Scope,The method will detect internal discontinuities parallel to the rolled surfaces.,1,"[31.43, 466.9610478515625, 282.906, 546.3940478515625]","[{'subj': 'this specification', 'obj': 'procedure and acceptance standards for straight-beam, pulse-echo, ultrasonic examination', 'edge': 'covers', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'this specification', 'obj': 'three levels of acceptance standards', 'edge': 'shall_provide', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'straight-beam, pulse-echo, ultrasonic examination', 'obj': 'rolled carbon and alloy steel plates', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'rolled carbon and alloy steel plates', 'obj': '10 mm', 'edge': 'has_minimum_thickness', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'rolled carbon and alloy steel plates', 'obj': 'special applications', 'edge': 'used_for', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'the method', 'obj': 'internal discontinuities', 'edge': 'detects', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'internal discontinuities', 'obj': 'rolled surfaces', 'edge': 'parallel_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'supplementary requirement', 'obj': 'alternative procedures', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}]"
5,Scope,Three levels of acceptance standards are provided.,1,"[31.43, 466.9610478515625, 282.906, 546.3940478515625]","[{'subj': 'this specification', 'obj': 'procedure and acceptance standards for straight-beam, pulse-echo, ultrasonic examination', 'edge': 'covers', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'this specification', 'obj': 'three levels of acceptance standards', 'edge': 'shall_provide', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'straight-beam, pulse-echo, ultrasonic examination', 'obj': 'rolled carbon and alloy steel plates', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'rolled carbon and alloy steel plates', 'obj': '10 mm', 'edge': 'has_minimum_thickness', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'rolled carbon and alloy steel plates', 'obj': 'special applications', 'edge': 'used_for', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'the method', 'obj': 'internal discontinuities', 'edge': 'detects', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'internal discontinuities', 'obj': 'rolled surfaces', 'edge': 'parallel_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'supplementary requirement', 'obj': 'alternative procedures', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}]"
5,Scope,Supplementary requirements are provided for alternative procedures.,1,"[31.43, 466.9610478515625, 282.906, 546.3940478515625]","[{'subj': 'this specification', 'obj': 'procedure and acceptance standards for straight-beam, pulse-echo, ultrasonic examination', 'edge': 'covers', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'this specification', 'obj': 'three levels of acceptance standards', 'edge': 'shall_provide', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'straight-beam, pulse-echo, ultrasonic examination', 'obj': 'rolled carbon and alloy steel plates', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'rolled carbon and alloy steel plates', 'obj': '10 mm', 'edge': 'has_minimum_thickness', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'rolled carbon and alloy steel plates', 'obj': 'special applications', 'edge': 'used_for', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'the method', 'obj': 'internal discontinuities', 'edge': 'detects', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'internal discontinuities', 'obj': 'rolled surfaces', 'edge': 'parallel_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}, {'subj': 'supplementary requirement', 'obj': 'alternative procedures', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 466.9610478515625, 282.906, 546.3940478515625]']}]"
6,Scope,1.2 Individuals performing examinations in accordance with this specification shall be qualified and certified in accordance with the requirements of the latest edition of ASNT SNTTC-1A or an equivalent accepted standard.,1,"[31.43, 382.9440478515625, 282.899, 460.4490478515625]","[{'subj': 'this specification', 'obj': 'individuals performing examinations', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'individuals performing examinations in accordance with this specification', 'obj': 'the requirements of the latest edition of ASNT SNTTC-1A', 'edge': 'required_to_be_qualified_and_certified_in_accordance_with', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'individuals performing examinations in accordance with this specification', 'obj': 'an equivalent accepted standard', 'edge': 'required_to_be_qualified_and_certified_in_accordance_with', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'equivalent standard', 'obj': 'qualification and certification of ultrasonic nondestructive examination candidates', 'edge': 'covers', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'equivalent standard', 'obj': 'purchaser', 'edge': 'subject_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'equivalent standard', 'obj': 'one which covers the qualification and certification of ultrasonic nondestructive examination candidates and which is acceptable to the purchaser', 'edge': 'defined_as', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'qualification and certification', 'obj': 'ultrasonic nondestructive examination candidates', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}]"
6,Scope,An equivalent standard is one which covers the qualification and certification of ultrasonic nondestructive examination candidates and which is acceptable to the purchaser.,1,"[31.43, 382.9440478515625, 282.899, 460.4490478515625]","[{'subj': 'this specification', 'obj': 'individuals performing examinations', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'individuals performing examinations in accordance with this specification', 'obj': 'the requirements of the latest edition of ASNT SNTTC-1A', 'edge': 'required_to_be_qualified_and_certified_in_accordance_with', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'individuals performing examinations in accordance with this specification', 'obj': 'an equivalent accepted standard', 'edge': 'required_to_be_qualified_and_certified_in_accordance_with', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'equivalent standard', 'obj': 'qualification and certification of ultrasonic nondestructive examination candidates', 'edge': 'covers', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'equivalent standard', 'obj': 'purchaser', 'edge': 'subject_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'equivalent standard', 'obj': 'one which covers the qualification and certification of ultrasonic nondestructive examination candidates and which is acceptable to the purchaser', 'edge': 'defined_as', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}, {'subj': 'qualification and certification', 'obj': 'ultrasonic nondestructive examination candidates', 'edge': 'applies_to', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 382.9440478515625, 282.899, 460.4490478515625]']}]"
7,Scope,"The values stated in each system may not be exact equivalents; therefore, each system shall be used independently of the other.",1,"[31.43, 310.5020478515625, 282.902, 376.5320478515625]","[{'subj': 'case1', 'obj': 'values stated in each system may not be exact equivalents', 'edge': 'has_condition', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'case1', 'obj': 'each system shall be used independently of the other', 'edge': 'has_consequence', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'combining values from the two systems', 'obj': 'non-conformance with the standard', 'edge': 'has_consequence', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'values stated in SI units', 'obj': 'standard', 'edge': 'regarded_separately_from', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'values stated in inch-pound units', 'obj': 'standard', 'edge': 'regarded_separately_from', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'SI units', 'obj': 'inch-pound units', 'edge': 'regarded_separately_from', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}]"
7,Scope,Combining values from the two systems may result in non-conformance with the standard.,1,"[31.43, 310.5020478515625, 282.902, 376.5320478515625]","[{'subj': 'case1', 'obj': 'values stated in each system may not be exact equivalents', 'edge': 'has_condition', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'case1', 'obj': 'each system shall be used independently of the other', 'edge': 'has_consequence', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'combining values from the two systems', 'obj': 'non-conformance with the standard', 'edge': 'has_consequence', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'values stated in SI units', 'obj': 'standard', 'edge': 'regarded_separately_from', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'values stated in inch-pound units', 'obj': 'standard', 'edge': 'regarded_separately_from', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'SI units', 'obj': 'inch-pound units', 'edge': 'regarded_separately_from', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}]"
7,Scope,1.3 The values stated in either SI units or inch-pound units are to be regarded separately as standard.,1,"[31.43, 310.5020478515625, 282.902, 376.5320478515625]","[{'subj': 'case1', 'obj': 'values stated in each system may not be exact equivalents', 'edge': 'has_condition', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'case1', 'obj': 'each system shall be used independently of the other', 'edge': 'has_consequence', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'combining values from the two systems', 'obj': 'non-conformance with the standard', 'edge': 'has_consequence', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'values stated in SI units', 'obj': 'standard', 'edge': 'regarded_separately_from', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'values stated in inch-pound units', 'obj': 'standard', 'edge': 'regarded_separately_from', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}, {'subj': 'SI units', 'obj': 'inch-pound units', 'edge': 'regarded_separately_from', 'title': 'Scope', 'pages': [1], 'coordinates_list': ['[31.43, 310.5020478515625, 282.902, 376.5320478515625]']}]"
