sort_id,title,text,page,coordinates,pruned_edges_row
29,Scope -> Coverage,1.1 Coverage,7,"[73.0, 630.3333333333334, 150.33333333333334, 646.3333333333334]",[]
30,Scope -> Coverage,This specification covers four grades of steel plates that are to be produced by thermo-mechanically controlled processing (TMcP) for use in welded construction of offshore structures.,7,"[74.33333333333333, 599.3333333333334, 514.0, 621.3333333333334]","[{'subj': 'this specification', 'obj': 'four grades of steel plates', 'edge': 'covers', 'title': 'Scope -> Coverage', 'pages': {7}, 'coordinates_list': ['[74.33333333333333, 599.3333333333334, 514.0, 621.3333333333334]']}, {'subj': 'this specification', 'obj': 'welded construction of offshore structures', 'edge': 'applied_to', 'title': 'Scope -> Coverage', 'pages': {7}, 'coordinates_list': ['[74.33333333333333, 599.3333333333334, 514.0, 621.3333333333334]']}, {'subj': 'steel plate', 'obj': 'tmcp', 'edge': 'made_by', 'title': 'Scope -> Coverage', 'pages': {7}, 'coordinates_list': ['[74.33333333333333, 599.3333333333334, 514.0, 621.3333333333334]']}, {'subj': 'steel plate', 'obj': 'welded construction of offshore structures', 'edge': 'used_for', 'title': 'Scope -> Coverage', 'pages': {7}, 'coordinates_list': ['[74.33333333333333, 599.3333333333334, 514.0, 621.3333333333334]']}, {'subj': 'tmcp', 'obj': 'thermo-mechanically controlled processing', 'edge': 'stands_for', 'title': 'Scope -> Coverage', 'pages': {7}, 'coordinates_list': ['[74.33333333333333, 599.3333333333334, 514.0, 621.3333333333334]']}]"
31,Scope -> Application of the APl Monogram,1.2 Application of the APl Monogram,7,"[74.0, 576.3333333333333, 264.6666666666667, 589.3333333333334]",[]
32,Scope -> Application of the APl Monogram,"If the product is manufactured at a facility licensed by APl and is intended to be supplied bearing the APl Monogram, the requirements of Annex A apply.",7,"[75.0, 543.6666666666667, 513.6666666666666, 565.0]","[{'subj': 'case1', 'obj': 'product manufactured at a facility licensed by APl', 'edge': 'has_condition_AND', 'title': 'Scope -> Application of the APl Monogram', 'pages': {7}, 'coordinates_list': ['[75.0, 543.6666666666667, 513.6666666666666, 565.0]']}, {'subj': 'case1', 'obj': 'product intended to be supplied bearing the APl Monogram', 'edge': 'has_condition_AND', 'title': 'Scope -> Application of the APl Monogram', 'pages': {7}, 'coordinates_list': ['[75.0, 543.6666666666667, 513.6666666666666, 565.0]']}, {'subj': 'case1', 'obj': 'requirements of Annex A', 'edge': 'has_consequence', 'title': 'Scope -> Application of the APl Monogram', 'pages': {7}, 'coordinates_list': ['[75.0, 543.6666666666667, 513.6666666666666, 565.0]']}]"
33,Normative References,Normative References,7,"[93.66666666666667, 516.0, 213.66666666666666, 526.3333333333333]",[]
34,Normative References,The following referenced documents are indispensable for the application of this document.,7,"[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]","[{'subj': 'referenced documents', 'obj': 'this document', 'edge': 'indispensable_for', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}, {'subj': 'edition cited', 'obj': 'dated references', 'edge': 'applied_to', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}, {'subj': 'undated references', 'obj': 'latest edition of the referenced document (including any addenda or errata)', 'edge': 'applied_to', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}, {'subj': 'latest edition of the referenced document', 'obj': 'any addenda or errata', 'edge': 'combined_with', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}]"
34,Normative References,"For dated references,only the edition cited applies.",7,"[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]","[{'subj': 'referenced documents', 'obj': 'this document', 'edge': 'indispensable_for', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}, {'subj': 'edition cited', 'obj': 'dated references', 'edge': 'applied_to', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}, {'subj': 'undated references', 'obj': 'latest edition of the referenced document (including any addenda or errata)', 'edge': 'applied_to', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}, {'subj': 'latest edition of the referenced document', 'obj': 'any addenda or errata', 'edge': 'combined_with', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}]"
34,Normative References,"For undated references, the latest edition of the referenced document (including any addenda or errata) applies.",7,"[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]","[{'subj': 'referenced documents', 'obj': 'this document', 'edge': 'indispensable_for', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}, {'subj': 'edition cited', 'obj': 'dated references', 'edge': 'applied_to', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}, {'subj': 'undated references', 'obj': 'latest edition of the referenced document (including any addenda or errata)', 'edge': 'applied_to', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}, {'subj': 'latest edition of the referenced document', 'obj': 'any addenda or errata', 'edge': 'combined_with', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 470.6666666666667, 513.6666666666666, 502.6666666666667]']}]"
35,Normative References,"API Recommended Practice 2Z, Preproduction Qualification for Steel Plates for Offshore Structures",7,"[75.0, 449.0, 488.0, 460.0]","[{'subj': 'API Recommended Practice 2Z', 'obj': 'Preproduction Qualification for Steel Plates for Offshore Structures', 'edge': 'covers', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.0, 449.0, 488.0, 460.0]']}, {'subj': 'API Recommended Practice 2Z', 'obj': 'API', 'edge': 'made_by', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.0, 449.0, 488.0, 460.0]']}, {'subj': 'Preproduction Qualification for Steel Plates for Offshore Structures', 'obj': 'Steel Plates for Offshore Structures', 'edge': 'applied_to', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.0, 449.0, 488.0, 460.0]']}, {'subj': 'Steel Plates for Offshore Structures', 'obj': 'Offshore Structures', 'edge': 'used_for', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.0, 449.0, 488.0, 460.0]']}]"
37,Normative References,"ASTM A370, Standard Test Methods and Definitions for Mechanical Testing of Steel Products",7,"[75.0, 394.6666666666667, 453.3333333333333, 405.6666666666667]","[{'subj': 'ASTM A370', 'obj': 'Standard Test Methods and Definitions for Mechanical Testing of Steel Products', 'edge': 'stands_for', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.0, 394.6666666666667, 453.3333333333333, 405.6666666666667]']}, {'subj': 'Standard Test Methods and Definitions for Mechanical Testing of Steel Products', 'obj': 'mechanical testing of steel products', 'edge': 'applied_to', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.0, 394.6666666666667, 453.3333333333333, 405.6666666666667]']}]"
