cluster_id,canonical_predicate,paraphrases,size,domain_signature,range_signature,inverse_candidates
-1,NOISE/UNKNOWN,"['divided_by 2', 'divided_by 4', 'divided_by_2', 'has_condition', 'has_condition_AND', 'has_condition_OR', 'has_consequence', 'has_consequence_AND', 'has_consequence_OR', 'accompanied_by', 'applies_to', 'at_manufacturer_option', 'classified_as', 'concern', 'covers', 'does_not_purport_to_address', 'has_defect', 'has_maximum_surface_finish', 'has_option', 'includes_component', 'indicated_by_ultrasonic_examination', 'is_a', 'is_subcommittee_of', 'made_at', 'must_not_interfere_unnecessarily_with', 'no_better_to_the_unaided_eye_than', 'observed_at', 'recommended_value', 'replaces', 'shall_afford_all_reasonable_facilities_to', 'stands_for', 'under_jurisdiction_of']",32,"[{'type_id': 4, 'label': 'case2', 'count': 136, 'ratio': 0.5152}, {'type_id': -1, 'label': 'UNK', 'count': 96, 'ratio': 0.3636}, {'type_id': 13, 'label': 'ultrasonic examination', 'count': 5, 'ratio': 0.0189}, {'type_id': 7, 'label': 'T/4', 'count': 4, 'ratio': 0.0152}, {'type_id': 8, 'label': 'transducer (type and frequency)', 'count': 4, 'ratio': 0.0152}]","[{'type_id': -1, 'label': 'UNK', 'count': 152, 'ratio': 0.5758}, {'type_id': 25, 'label': 'area where continuous total loss of back reflection and continuous indications on the same plane (within 5% of plate thickness) cannot be encompassed within a 25 mm diameter circle', 'count': 21, 'ratio': 0.0795}, {'type_id': 26, 'label': '200 mm < Plate Thickness, in. [mm] ≤ 300 mm', 'count': 13, 'ratio': 0.0492}, {'type_id': 16, 'label': 'agreement between the manufacturer and purchaser', 'count': 9, 'ratio': 0.0341}, {'type_id': 22, 'label': 'hole_diameter = 22 mm', 'count': 8, 'ratio': 0.0303}]","[{'relation': 'instructs_use_of', 'score': 9.5687}, {'relation': 'has_additional_path', 'score': 4.9822}, {'relation': 'shall_indicate', 'score': 4.8283}, {'relation': 'performed_before', 'score': 3.0}, {'relation': 'made_at', 'score': 2.0}]"
25,shall_provide,"['plotted_on', 'provides', 'recorded_on', 'required_to_provide', 'shall_be_recorded', 'shall_indicate', 'shall_provide', 'shall_report']",8,"[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 0.75}, {'type_id': 11, 'label': 'The manufacturer', 'count': 2, 'ratio': 0.25}]","[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 0.875}, {'type_id': 13, 'label': 'ultrasonic examination', 'count': 1, 'ratio': 0.125}]","[{'relation': 'instructs_use_of', 'score': 6.5}, {'relation': 'has_additional_path', 'score': 6.0}, {'relation': 'shall_indicate', 'score': 5.0}, {'relation': 'shall_be_recorded', 'score': 1.0}, {'relation': 'made_at', 'score': 1.0}]"
7,parallel_to,"['adjacent_to', 'connects_to', 'corresponds_to', 'coupled_to', 'has_maximum_deviation_from_parallel_to', 'parallel_to', 'refer_to']",7,"[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 0.8571}, {'type_id': 6, 'label': 'calibration procedure', 'count': 1, 'ratio': 0.1429}]","[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 1.0}]","[{'relation': 'instructs_use_of', 'score': 6.5}, {'relation': 'shall_indicate', 'score': 6.0}, {'relation': 'has_additional_path', 'score': 6.0}, {'relation': 'used_for', 'score': 0.5836}, {'relation': 'covers', 'score': 0.5431}]"
1,the notch signal reaches one scale division,"['increments of one scale division', 'is_lowered_in increments of one scale division', 'the amplitude of the signal from the notch is changed', 'the back reflection signal reaches full scale', 'the notch signal reaches one scale division']",5,"[{'type_id': 9, 'label': 'raising of the notch signal', 'count': 3, 'ratio': 0.6}, {'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.4}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.8}, {'type_id': 9, 'label': 'raising of the notch signal', 'count': 1, 'ratio': 0.2}]","[{'relation': 'equal_to', 'score': 3.0}, {'relation': 'is_lowered_in increments of one scale division', 'score': 3.0}, {'relation': 'instructs_use_of', 'score': 2.5}, {'relation': 'the notch signal reaches one scale division', 'score': 1.0}, {'relation': 'the back reflection signal reaches full scale', 'score': 1.0}]"
3,listed_in,"['found_in', 'included_in', 'invited_for', 'listed_in', 'prescribed_in']",5,"[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.5714}, {'type_id': 5, 'label': '5.6.2, 5.6.3, and Section 6', 'count': 3, 'ratio': 0.4286}]","[{'relation': 'instructs_use_of', 'score': 2.8536}, {'relation': 'shall_indicate', 'score': 2.0}, {'relation': 'has_additional_path', 'score': 2.0}, {'relation': 'acceptable_to', 'score': 1.0}, {'relation': 'performed_before', 'score': 1.0}]"
28,has_number,"['has_action', 'has_level', 'has_number', 'has_number_of_standards', 'has_status']",5,"[{'type_id': -1, 'label': 'UNK', 'count': 8, 'ratio': 0.8889}, {'type_id': 19, 'label': 'half maximum amplitude marks for the 50 % DAC', 'count': 1, 'ratio': 0.1111}]","[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 1.0}]","[{'relation': 'instructs_use_of', 'score': 4.5}, {'relation': 'shall_indicate', 'score': 4.0}, {'relation': 'has_additional_path', 'score': 4.0}, {'relation': 'used_for', 'score': 0.5399}, {'relation': 'listed_in', 'score': 0.5}]"
0,subject_to,"['acceptable_to', 'organized_by', 'subject_to', 'subject_to_revision_by']",4,"[{'type_id': 12, 'label': 'this standard', 'count': 3, 'ratio': 0.75}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.25}]","[{'type_id': 2, 'label': 'review every 5 years', 'count': 3, 'ratio': 0.75}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.25}]","[{'relation': 'regarded_as_standard', 'score': 2.0}, {'relation': 'required_to_be_qualified_and_certified_in_accordance_with', 'score': 0.8536}, {'relation': 'instructs_use_of', 'score': 0.5}, {'relation': 'acceptable_to', 'score': 0.5}, {'relation': 'performed_before', 'score': 0.5}]"
2,is_function_of,"['instructs_use_of', 'is_document_identifier', 'is_extension_of', 'is_function_of']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.75}, {'type_id': 23, 'label': 'plate to be examined', 'count': 1, 'ratio': 0.25}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.75}, {'type_id': 23, 'label': 'plate to be examined', 'count': 1, 'ratio': 0.25}]","[{'relation': 'shall_indicate', 'score': 3.0}, {'relation': 'has_additional_path', 'score': 3.0}, {'relation': 'instructs_use_of', 'score': 2.0}, {'relation': 'shall_be_recorded', 'score': 1.0}, {'relation': 'has_same_nominal_composition_and_thermal_treatment_as', 'score': 0.5}]"
5,has_same_nominal_composition_and_thermal_treatment_as,"['has_acoustical_properties_similar_to', 'has_same_nominal_composition_and_thermal_treatment_as', 'has_same_nominal_composition_as', 'has_same_thermal_treatment_as']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'type_id': 23, 'label': 'plate to be examined', 'count': 4, 'ratio': 1.0}]","[{'relation': 'acceptable_to', 'score': 2.0}, {'relation': 'performed_before', 'score': 2.0}, {'relation': 'parallel_to', 'score': 2.0}]"
10,detects,"['detects', 'determined_at', 'represents', 'shows']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'instructs_use_of', 'score': 4.0}, {'relation': 'shall_indicate', 'score': 4.0}, {'relation': 'has_additional_path', 'score': 4.0}]"
11,occurs_before,"['occurs_at', 'occurs_before', 'performed_along', 'performed_before']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.5}, {'type_id': 13, 'label': 'ultrasonic examination', 'count': 2, 'ratio': 0.5}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.75}, {'type_id': 14, 'label': 'continuous parallel paths transverse to the major plate axis on nominal 100 mm centers', 'count': 1, 'ratio': 0.25}]","[{'relation': 'certifies', 'score': 2.0}, {'relation': 'indicated_by_ultrasonic_examination', 'score': 2.0}, {'relation': 'concern', 'score': 2.0}, {'relation': 'instructs_use_of', 'score': 1.0}, {'relation': 'shall_indicate', 'score': 1.0}]"
12,used_for,"['used_as', 'used_at', 'used_for', 'uses']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 14, 'ratio': 0.6087}, {'type_id': 0, 'label': 'water', 'count': 3, 'ratio': 0.1304}, {'type_id': 13, 'label': 'ultrasonic examination', 'count': 3, 'ratio': 0.1304}, {'type_id': 8, 'label': 'transducer (type and frequency)', 'count': 1, 'ratio': 0.0435}, {'type_id': 15, 'label': 'steel plates', 'count': 1, 'ratio': 0.0435}]","[{'type_id': -1, 'label': 'UNK', 'count': 13, 'ratio': 0.5652}, {'type_id': 0, 'label': 'water', 'count': 3, 'ratio': 0.1304}, {'type_id': 6, 'label': 'calibration procedure', 'count': 3, 'ratio': 0.1304}, {'type_id': 10, 'label': 'maximum amplitudes from the reflectors at T /4, T /2, and 3 T /4', 'count': 2, 'ratio': 0.087}, {'type_id': 13, 'label': 'ultrasonic examination', 'count': 1, 'ratio': 0.0435}]","[{'relation': 'instructs_use_of', 'score': 1.4768}, {'relation': 'shall_provide', 'score': 0.9768}, {'relation': 'has_level', 'score': 0.9768}, {'relation': 'concern', 'score': 0.8536}, {'relation': 'indicated_by_ultrasonic_examination', 'score': 0.8536}]"
21,positioned_over,"['centered_on', 'has_position', 'positioned_over', 'takes_no_position_respecting']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.75}, {'type_id': 18, 'label': 'half the vertical distance from the sweep line to each maximum amplitude hole mark', 'count': 1, 'ratio': 0.25}]","[{'relation': 'instructs_use_of', 'score': 3.0}, {'relation': 'shall_indicate', 'score': 3.0}, {'relation': 'has_additional_path', 'score': 3.0}, {'relation': 'marked_on', 'score': 1.0}, {'relation': 'marked_on_screen', 'score': 0.8536}]"
4,equivalent_to,"['equal_to', 'equivalent_to', 'similar_to']",3,"[{'type_id': 3, 'label': '25 mm', 'count': 3, 'ratio': 0.5}, {'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.3333}, {'type_id': 8, 'label': 'transducer (type and frequency)', 'count': 1, 'ratio': 0.1667}]","[{'type_id': 3, 'label': '25 mm', 'count': 3, 'ratio': 0.5}, {'type_id': 9, 'label': 'raising of the notch signal', 'count': 1, 'ratio': 0.1667}, {'type_id': 8, 'label': 'transducer (type and frequency)', 'count': 1, 'ratio': 0.1667}, {'type_id': 23, 'label': 'plate to be examined', 'count': 1, 'ratio': 0.1667}]","[{'relation': 'the notch signal reaches one scale division', 'score': 1.0}, {'relation': 'the back reflection signal reaches full scale', 'score': 1.0}, {'relation': 'increments of one scale division', 'score': 1.0}, {'relation': 'has_diameter', 'score': 0.6325}, {'relation': 'has_dimension', 'score': 0.6325}]"
13,marked_on,"['marked_at', 'marked_on', 'marked_on_screen']",3,"[{'type_id': 18, 'label': 'half the vertical distance from the sweep line to each maximum amplitude hole mark', 'count': 2, 'ratio': 0.5}, {'type_id': 15, 'label': 'steel plates', 'count': 1, 'ratio': 0.25}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.25}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.75}, {'type_id': 8, 'label': 'transducer (type and frequency)', 'count': 1, 'ratio': 0.25}]","[{'relation': 'calculated_by', 'score': 1.8536}, {'relation': 'has_position', 'score': 1.0}, {'relation': 'measured_between', 'score': 1.0}, {'relation': 'instructs_use_of', 'score': 0.8536}, {'relation': 'should_be_addressed_to', 'score': 0.8536}]"
17,has_size,"['has_diameter', 'has_dimension', 'has_size']",3,"[{'type_id': 8, 'label': 'transducer (type and frequency)', 'count': 3, 'ratio': 0.75}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.25}]","[{'type_id': 3, 'label': '25 mm', 'count': 4, 'ratio': 1.0}]","[{'relation': 'equivalent_to', 'score': 1.2649}, {'relation': 'marked_at', 'score': 1.0}, {'relation': 'acceptable_to', 'score': 0.5}, {'relation': 'performed_before', 'score': 0.5}, {'relation': 'parallel_to', 'score': 0.5}]"
19,conditioned_by,"['checked_by', 'conditioned_by', 'conditioned_to']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'instructs_use_of', 'score': 3.0}, {'relation': 'shall_indicate', 'score': 3.0}, {'relation': 'has_additional_path', 'score': 3.0}]"
23,measured_between,"['calculated_by', 'measured_between', 'measured_from']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'type_id': 18, 'label': 'half the vertical distance from the sweep line to each maximum amplitude hole mark', 'count': 2, 'ratio': 0.4}, {'type_id': 15, 'label': 'steel plates', 'count': 2, 'ratio': 0.4}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.2}]","[{'relation': 'marked_on_screen', 'score': 1.8536}, {'relation': 'marked_on', 'score': 1.0}, {'relation': 'is_subcommittee_of', 'score': 1.0}, {'relation': 'instructs_use_of', 'score': 0.8536}, {'relation': 'shall_provide', 'score': 0.8536}]"
26,required_to_be_qualified_and_certified_in_accordance_with,"['certifies', 'in_accordance_with', 'required_to_be_qualified_and_certified_in_accordance_with']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 0.7143}, {'type_id': 13, 'label': 'ultrasonic examination', 'count': 1, 'ratio': 0.1429}, {'type_id': 12, 'label': 'this standard', 'count': 1, 'ratio': 0.1429}]","[{'relation': 'occurs_before', 'score': 1.0}, {'relation': 'performed_before', 'score': 1.0}, {'relation': 'has_defect', 'score': 1.0}, {'relation': 'instructs_use_of', 'score': 1.0}, {'relation': 'shall_indicate', 'score': 1.0}]"
27,are_responsible_for,"['are_responsible_for', 'direct_responsibility_of', 'has_responsibility']",3,"[{'type_id': 12, 'label': 'this standard', 'count': 4, 'ratio': 0.8}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.2}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.8}, {'type_id': 15, 'label': 'steel plates', 'count': 1, 'ratio': 0.2}]","[{'relation': 'regarded_as_standard', 'score': 2.0}, {'relation': 'required_to_be_qualified_and_certified_in_accordance_with', 'score': 1.7071}, {'relation': 'instructs_use_of', 'score': 1.0}, {'relation': 'is_subcommittee_of', 'score': 1.0}, {'relation': 'stands_for', 'score': 0.5695}]"
6,defined_as,"['as_specified_in', 'defined_as']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.6667}, {'type_id': 12, 'label': 'this standard', 'count': 1, 'ratio': 0.3333}]","[{'type_id': 1, 'label': 'Specifications A263, A264, and A265', 'count': 1, 'ratio': 0.3333}, {'type_id': 13, 'label': 'ultrasonic examination', 'count': 1, 'ratio': 0.3333}, {'type_id': 4, 'label': 'case2', 'count': 1, 'ratio': 0.3333}]","[{'relation': 'performed_before', 'score': 1.2071}, {'relation': 'occurs_before', 'score': 0.7071}, {'relation': 'has_defect', 'score': 0.7071}, {'relation': 'covers', 'score': 0.5386}, {'relation': 'acceptable_to', 'score': 0.5}]"
8,held_by,"['held_by', 'held_for']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.6667}, {'type_id': 11, 'label': 'The manufacturer', 'count': 1, 'ratio': 0.3333}]","[{'relation': 'instructs_use_of', 'score': 1.8536}, {'relation': 'has_additional_path', 'score': 1.8536}, {'relation': 'shall_indicate', 'score': 1.0}, {'relation': 'shall_be_recorded', 'score': 0.8536}]"
9,receive_careful_consideration_at,"['receive_careful_consideration_at', 'should_be_addressed_to']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'instructs_use_of', 'score': 2.0}, {'relation': 'shall_indicate', 'score': 2.0}, {'relation': 'has_additional_path', 'score': 2.0}]"
