cluster_id,canonical_label,aliases,size
-1,3,"['1 in.', '1.8:1 to 2.2:1', '10 %', '100 % DAC', '100 % of the plate surface', '15% overlap of adjoining passes', '1° relative to the examination surface', '20% to 80% of the screen height', '225 by 225-mm square', '2250000 Hz', '3', '3*T', '30 % of the screen height', '4', '4.2', '5', '5% of plate thickness', '50 % DAC', '75 6 5 % of full scale indication from the reflector giving the highest amplitude', '75 6 5 % of full-scale indication', 'A263 Specification', 'AA', 'ANSI Standard', 'ASME Boiler and Pressure Vessel Code applications', 'ASNT Standard', 'ASTM Committee A01 on Steel, Stainless Steel and Related Alloys', 'ASTM International', 'ASTM International Headquarters', 'ASTM Standards', 'Acceptance Level B applies', 'Acceptance Standard', 'Acceptance Standards', 'Acceptance level requirements', 'Clad Plate', 'Distance-Amplitude Corrections', 'ESR', 'Electroslag Remelted', 'Electroslag Remelted (ESR) and Vacuum-Arc Remelted (VAR) Plates', 'Flat Bottom Hole Calibration', 'Hole Diameter, in. [mm]', 'Level A', 'Level B', 'Level C', 'Nickel and Nickel-Base Alloy-Clad', 'Reference Reflectors', 'S8.5', 'S9.2', 'SI units', 'SNT-TC-1A', 'Scanning', 'Section 6', 'Section II of the ASME Boiler and Pressure Vessel Code', 'Sections 7, 8, and 9', 'Specification SA-578/SA-578M', 'Specification SA-578/SA-578M in Section II of the ASME Boiler and Pressure Vessel Code', 'Stainless Chromium Steel-Clad Plate', 'Stainless Chromium-Nickel Steel', 'Surface Texture', 'T', 'T/4, T/2, and 3T/4 deep flat bottom holes', 'Table S8.1', 'Table S9.1', 'Ultrasonic Examination of Electroslag Remelted (ESR) and Vacuum-Arc Remelted (VAR) Plates', 'VAR', 'Vacuum-Arc Remelted', 'a curve', 'a written procedure', 'acceptance level more restrictive than Section 7 or 8', 'acceptance levels of Section 7 or 8', 'acoustical properties', 'acoustical similarity', 'additional standards', 'additions to the provisions of this specification', 'adequate coverage for locating discontinuities', 'adjust the instrument to produce a first reflection from the opposite side of a sound area of the plate of 75 6 5 % of full scale', 'after the back reflection signal reaches full scale', 'all reasonable facilities', 'all tests and inspections', 'alternative procedures', 'amplitude linearity', 'any indication ≥ 100 % DAC', 'apparatus', 'area free of operations that interfere with proper performance of the test', 'as specified by the purchaser', 'back reflection < 50 % DAC', 'calibration_hole_diameter', 'certification', 'circle diameter', 'clause 4.2', 'clean', 'collectively encompassed by the circle described in 8.1', 'combining values from the two systems', 'comments', 'comments have not received a fair hearing', 'connect and extend', 'continues_until', 'continuous', 'continuous indications on the same plane', 'continuous indications on the same plane (within 5% of plate thickness)', 'continuous total loss of back reflection', 'date of test', 'details of these requirements not covered herein', 'determination of the validity of any such patent rights', 'determine the applicability of regulatory limitations', 'deviations from the above established 2:1 ratio', 'direct contact', 'discontinuities causing complete loss of back reflection', 'distance amplitude correction curve', 'document identifier', 'each hole', 'each increment', 'easily interpreted', 'either major surface of the plate', 'either method', 'entire surface area of a 225 by 225-mm square centered on this indication', 'entire surface area of the squares adjacent to this indication shall be scanned', 'equivalent descriptions for clad quality level', 'establish appropriate safety and health practices', 'establish the boundary', 'evaluating and pinpointing indications', 'evaluation of the discontinuity condition', 'examination', 'first back reflection', 'flat bottom hole diameter', 'following data', 'following procedures', 'frequency of 5 MHz', 'general scanning', 'grinding', 'half the vertical distances', 'higher or lower test frequency', 'highest of the minimum remaining back reflections', 'inch-pound units', 'indexed between each pass', 'indications occurring midway between the initial pulse and the first back reflection', 'indications ≥ 50 % DAC', 'individuals performing examinations in accordance with this specification', 'inspection', 'inspector', ""inspector shall have access at all times to all parts of the manufacturer's works that concern the ultrasonic testing of the material ordered"", 'instrument', 'instrument adjustment that will produce a first reflection from the opposite side of a sound area of the plate from 50% to 90% of full scale', 'internal discontinuities', 'is_raised_in', 'line', 'lines', 'liquid column coupling', 'local rough surfaces', 'loss due to the metallurgical structure of the material being examined', 'make and model of instrument', 'make your views known to the ASTM Committee on Standards at the address shown below', 'manufacturer shall report the following data', ""manufacturer's option"", 'mark on the screen', 'material', 'material to be examined surface finish ≤ 5 µm', 'material to be examined surface finish ≤ 6 µm', 'max(75 mm, plate thickness divided_by 2)', 'maximum amplitude from each of the holes marked on the screen', 'maximum amplitude hole marks', 'meeting', 'meeting of the responsible technical committee', 'metallurgical review', 'minimum remaining back reflection from each hole', 'minor sensitivity adjustments', 'no better to the unaided eye than the plate surface to be examined', 'nominal test frequency', 'nominal thickness within 25 mm of the examined plate', 'nominal thickness within 75% to 125% of the examined plate', 'non-conformance with the standard', 'nondestructive testing', 'occur_as', 'one or more discontinuities', 'ordering information', 'other search units', 'overlap of adjoining passes ≥ 15%', 'parallel path scanning is performed AND recordable conditions as in 6.1 and 6.2 are detected', ""parts of the manufacturer's works"", 'plate surface sufficiently clean and smooth', 'plate surface to be examined', 'plate thickness ≥ 100 mm', 'plate_thickness', 'plates', 'position on the graph', 'positioning the transducer over the depth resolution notch in the IIW or similar block', 'pressure containing parts', 'prior to shipment', 'prior to use', 'procedure', 'proper surface smoothness', 'purchaser', 'qualification and certification', 'rated frequency', 'ratio', 'ratio within 10% of 2:1', 'recondition the surface in the area and reexamine ultrasonically', 'record all areas', 'record all indications', 'record the boundaries or extent of each recordable condition', 'recordable condition', 'recordable conditions', 'recordable conditions listed in S8.5.1 and S8.5.2 detected along a given grid line', 'recordable indications', 'recorded', 'reference block', 'reference block nominal thickness', 'reference block of the same nominal composition and thermal treatment as the plate to be examined', 'reference block of the same nominal composition, and thermal treatment as the plate to be examined', 'reference reflectors', 'referenced documents', 'rehearing', 'rejection of the plate', 'remaining back reflection is smaller than the highest of the minimum remaining back reflections found in S8.4.2', 'report', 'residue of oil or rust or both', 'restore any specified identification', 'revision of this standard', 'risk of infringement of such rights', 'rolled carbon and alloy steel plates', 'rolled surfaces', 'satisfy inspector that the material is being furnished in accordance with this specification', 'scanning', 'screen', 'search unit', 'search unit indexed between each pass', 'search unit positioned over each of the holes', 'second reflection', 'separated by a minimum distance equal to the greatest diameter of the larger discontinuity', 'separated from each other by a distance less than the greatest dimension of the smaller indication', 'signal from one of the back surfaces', 'sketch of the plate', 'special applications', 'specified identification removed when grinding to achieve proper surface smoothness', 'squares', 'sufficient data to relate the geometry and identity of the sketch to those of the plate', 'suitable means of scale removal', 'surface condition', 'surface finish', 'surface finish conditioned prior to test', 'surface finish of the plate', 'surface finish of the plate ≤ 0.003 mm AA', 'surface of plates may be expected to have a residue of oil or rust or both', 'surface of the reference block', 'surface roughness', 'sweep line', 'test', 'test by this method', 'test parameters', 'the condition', 'the following', 'the following technique', 'the inquiry and order', 'the larger signal', 'the line', 'the manufacturer', 'the method', 'the operation', 'the ratio of the two signals', 'the ratios', 'the requirements of the latest edition of ASNT SNTTC-1A', 'the test', 'the thickness', 'the two signals', 'thickness', 'thickness, grain size or microstructure of the material and nature of the equipment or method', 'this', 'this condition observed', 'this indication', 'this section', 'this specification', 'this standard withdrawn', 'three levels of acceptance standards', 'tolerance = lesser_of(75% to 125% of examined plate, 25 mm)', 'trace pattern', 'true boundaries where these conditions exist', 'true boundaries where these conditions exist shall be established', 'two or more discontinuities smaller than described in 8.1', 'type', 'ultrasonic examination on either major surface of the plate', 'ultrasonically indicated defect', 'unacceptable', 'unless otherwise specified', 'use of the plate', 'validity of any patent rights asserted in connection with any item mentioned in this standard', 'values stated in SI units', 'values stated in each system may not be exact equivalents', 'values stated in inch-pound units', 'variation within 10 % limits established above', 'vertical distances', 'withdrawn', 'within 25 mm of examined plate', 'within 50 mm of all edges of the plate on the searching surface', 'within 75% to 125% of examined plate', 'written certification', 'you', 'your comments']",296
13,ultrasonic examination,"['Ultrasonic Examination', 'Ultrasonic Examination Using Flat Bottom Hole Calibration', 'discuss rejectable ultrasonically tested plate with the purchaser', 'discussion of rejectable ultrasonically examined material', 'individuals performing examinations', 'one which covers the qualification and certification of ultrasonic nondestructive examination candidates and which is acceptable to the purchaser', 'possible repair of the ultrasonically indicated defect', 'possible repair of the ultrasonically indicated defect before rejection of the plate', 'procedure and acceptance standards for straight-beam, pulse-echo, ultrasonic examination', 'qualification and certification of ultrasonic nondestructive examination candidates', 'rejectable ultrasonically examined material', 'rejectable ultrasonically tested plate', 'straight-beam, pulse-echo, ultrasonic examination', 'ultrasonic examination', 'ultrasonic examinations', 'ultrasonic nondestructive examination candidates', ""ultrasonic test operator's qualifications"", 'ultrasonic testing of the material ordered', 'ultrasonically examined material', ""written certification of the ultrasonic test operator's qualifications""]",20
25,area where continuous total loss of back reflection and continuous indications on the same plane (within 5% of plate thickness) cannot be encompassed within a 25 mm diameter circle,"['50% loss of back reflection', 'additional investigation by use of multiple back reflections', 'amplitudes ≥ 50% of the initial back reflection', 'area cannot be encompassed within a circle whose diameter is the greater of 75 mm and plate thickness / 2', 'area where continuous total loss of back reflection and continuous indications on the same plane (within 5% of plate thickness) cannot be encompassed within a 25 mm diameter circle', 'area where one or more discontinuities produce a continuous total loss of back reflection accompanied by continuous indications on the same plane within 5% of plate thickness and that cannot be encompassed within a circle whose diameter is max(75 mm, plate thickness divided_by 2)', 'collectively cannot be encompassed by a 75 mm diameter circle', 'comparison of the back reflection signals between the reference block and the examined plate shows a variation of 25 % or less', 'comparison of the back reflection signals between the reference block and the examined plate shows a variation ≤ 25 %', 'continuous indications on the same plane within 5% of plate thickness', 'drop in back reflection not accompanied by other indications on the screen', 'first reflection from the opposite side of the plate ≥ 50 % of full scale during scanning', 'height of the back reflection and discontinuity indications are equal', 'individually encompassed by a 75 mm diameter circle', 'one or more discontinuities produce a continuous total loss of back reflection', 'recordable condition listed in Section 6 that cannot be encompassed by a 75 mm diameter circle', 'recordable condition listed in Section 6 that is continuous', 'recordable condition listed in Section 6 that is on the same plane (within 5% of the plate thickness)', 'second reflection at the location of the first back reflection', 'two or more recordable conditions']",20
3,25 mm,"['0.003 mm', '10 mm', '100 mm', '125 µin.', '200 µin', '225 mm by 225 mm', '25 mm', '25 mm square', '25 mm to 400 mm', '250 µin', '30 mm', '5 µm', '6 µm']",13
26,"200 mm < Plate Thickness, in. [mm] ≤ 300 mm","['100 mm < Plate Thickness, in. [mm] ≤ 200 mm', '100 mm ≤ plate_thickness ≤ 150 mm', '150 mm < plate_thickness ≤ 225 mm', '200 mm < Plate Thickness, in. [mm] ≤ 300 mm', '225 mm < plate_thickness ≤ 300 mm', '25 mm ≤ Plate Thickness, in. [mm] ≤ 100 mm', '300 mm < Plate Thickness, in. [mm] ≤ 400 mm', '300 mm < plate_thickness ≤ 500 mm', 'on the same plane within 5 % of plate thickness', 'plate thickness < 20 mm', 'plate thickness > 200 mm and ≤ 400 mm', 'plate thickness ≤ 200 mm', 'plate thickness ≥ 20 mm']",13
8,transducer (type and frequency),"['a point equivalent to the center of the transducer', 'frequency', 'move the transducer away from the center of the discontinuity', 'test frequency', 'the center of the transducer', 'the transducer', 'transducer', 'transducer (type and frequency)', 'transducers']",9
16,agreement between the manufacturer and purchaser,"['agreement between the manufacturer and purchaser', 'agreement between the manufacturer and the purchaser', 'individually specified by the purchaser', ""manufacturer's operations"", 'otherwise agreed to by purchaser and manufacturer', 'otherwise agreed to by the purchaser and the manufacturer', 'this standard not revised', 'this standard reapproved', 'work on the contract of the purchaser is being performed']",9
14,continuous parallel paths transverse to the major plate axis on nominal 100 mm centers,"['100% of one major plate surface', 'continuous parallel paths parallel to the major plate axis on centers ≤ 75 mm', 'continuous parallel paths transverse to the major plate axis on nominal 100 mm centers', 'continuous perpendicular grid lines on nominal 225 mm centers', 'option to select continuous parallel paths transverse to the major plate axis on nominal 100 mm centers', 'parallel paths', 'parallel paths parallel to the major plate axis', 'parallel paths transverse to the major plate axis']",8
15,steel plates,"['Steel Plate', 'Subcommittee A01.11 on Steel Plates for Boilers and Pressure Vessels', 'center of the plate', 'one corner of the plate', 'plate', 'pressure vessel steels', 'steel plate for pressure vessel applications', 'steel plates']",8
18,half the vertical distance from the sweep line to each maximum amplitude hole mark,"['0.5 multiplied_by vertical distance from the sweep line to each maximum amplitude hole mark', 'half the vertical distance from the sweep line to each maximum amplitude hole mark', 'half the vertical distances from the sweep line to each maximum amplitude hole mark', 'maximum amplitude from each hole', 'maximum amplitude hole mark', 'sweep line to each maximum amplitude hole mark', 'vertical distance from the sweep line to each maximum amplitude hole mark', 'vertical distances from the sweep line to each maximum amplitude hole mark']",8
